text,label
"This product is amazing! I love it.",1
"Terrible quality, would not recommend.",0
"Great value for money. Highly satisfied.",1
"Disappointing purchase. Poor quality.",0
"Excellent service and fast delivery.",1
"Waste of money. Very unhappy.",0
"Best purchase I've made this year!",1
"Product broke after one day of use.",0
"Outstanding quality and performance.",1
"Not worth the price at all.",0
"Fantastic product! Exceeded expectations.",1
"Completely useless and overpriced.",0
"Highly recommend to everyone!",1
"Save your money, don't buy this.",0
"Perfect for my needs. Very happy.",1
"Worst product I've ever bought.",0
"Incredible quality, great design.",1
"Total disappointment, very poor.",0
"Absolutely love it! Five stars.",1
"Returned it immediately, awful.",0
"Works perfectly as described.",1
"Broke within a week, terrible.",0
"Best in its category, no doubt.",1
"Complete waste, avoid at all costs.",0
"Exceptional quality and value.",1
"Horrible experience, very upset.",0
"Would buy again without hesitation.",1
"Never buying from this brand again.",0
"Superb product, highly satisfied.",1
"Regret purchasing this completely.",0
